,TOTAL,WHITE,BLACK,AK_NH,ASIAN_NH,PI_NH,OTHER_NH,MIX_NH,HISP_ALL,WHITE_H,BLACK_H,AK_H,ASIAN_H,PI_H,OTHER_H,MIX_H,NAME,county,state,tract,county_map,AK,API,OTHER_MIX,HISP,AK_PER,API_PER,BLACK_PER,HISP_PER,OTHER_MIX_PER,WHITE_PER,MAX_ETH_PER,MAX_ETH,Above 70,Above 80,Above 90
91,2793.0,772.0,1252.0,39.0,622.0,0.0,0.0,60.0,48.0,36.0,0.0,0.0,0.0,0.0,0.0,12.0,"Census Tract 91, Philadelphia County, Pennsylvania",101,42,009100,"Philadelphia County, Pennsylvania",39.0,622.0,60.0,48.0,0.013963480128893663,0.22269960615825277,0.44826351593268887,0.017185821697099892,0.021482277121374866,0.2764052989616899,0.44826351593268887,BLACK_PER,0,0,0
92,3568.0,529.0,2476.0,0.0,405.0,0.0,7.0,73.0,78.0,29.0,0.0,12.0,10.0,19.0,8.0,0.0,"Census Tract 92, Philadelphia County, Pennsylvania",101,42,009200,"Philadelphia County, Pennsylvania",12.0,434.0,80.0,37.0,0.0033632286995515697,0.12163677130044843,0.6939461883408071,0.010369955156950673,0.02242152466367713,0.14826233183856502,0.6939461883408071,BLACK_PER,0,0,0
93,4109.0,35.0,4032.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 93, Philadelphia County, Pennsylvania",101,42,009300,"Philadelphia County, Pennsylvania",0.0,0.0,42.0,0.0,0.0,0.0,0.9812606473594548,0.0,0.010221465076660987,0.008517887563884156,0.9812606473594548,BLACK_PER,1,1,1
94,4123.0,29.0,3872.0,0.0,0.0,0.0,57.0,125.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 94, Philadelphia County, Pennsylvania",101,42,009400,"Philadelphia County, Pennsylvania",0.0,0.0,182.0,40.0,0.0,0.0,0.939121998544749,0.009701673538685424,0.044142614601018676,0.007033713315546932,0.939121998544749,BLACK_PER,1,1,1
95,3065.0,26.0,2819.0,11.0,0.0,0.0,48.0,23.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 95, Philadelphia County, Pennsylvania",101,42,009500,"Philadelphia County, Pennsylvania",11.0,0.0,71.0,138.0,0.0035889070146818925,0.0,0.9197389885807504,0.04502446982055465,0.023164763458401304,0.008482871125611746,0.9197389885807504,BLACK_PER,1,1,1
96,4311.0,83.0,4035.0,12.0,31.0,0.0,0.0,34.0,116.0,0.0,43.0,0.0,0.0,0.0,73.0,0.0,"Census Tract 96, Philadelphia County, Pennsylvania",101,42,009600,"Philadelphia County, Pennsylvania",12.0,31.0,34.0,116.0,0.0027835768963117608,0.0071909069821387145,0.9359777313848295,0.026907909997680352,0.007886801206216655,0.01925307353282301,0.9359777313848295,BLACK_PER,1,1,1
97,2417.0,207.0,1965.0,7.0,90.0,0.0,11.0,51.0,86.0,47.0,13.0,0.0,0.0,0.0,0.0,26.0,"Census Tract 98.01, Philadelphia County, Pennsylvania",101,42,009801,"Philadelphia County, Pennsylvania",7.0,90.0,62.0,86.0,0.0028961522548613984,0.037236243276789406,0.8129913115432355,0.03558129913115432,0.025651634257343816,0.08564335953661564,0.8129913115432355,BLACK_PER,1,1,0
98,6445.0,483.0,5825.0,0.0,27.0,0.0,0.0,68.0,42.0,20.0,0.0,0.0,0.0,0.0,0.0,22.0,"Census Tract 98.02, Philadelphia County, Pennsylvania",101,42,009802,"Philadelphia County, Pennsylvania",0.0,27.0,68.0,42.0,0.0,0.0041892940263770365,0.9038013964313422,0.006516679596586501,0.010550814584949574,0.07494181536074476,0.9038013964313422,BLACK_PER,1,1,1
99,4610.0,561.0,3829.0,0.0,75.0,0.0,0.0,52.0,93.0,29.0,13.0,0.0,0.0,0.0,51.0,0.0,"Census Tract 100, Philadelphia County, Pennsylvania",101,42,010000,"Philadelphia County, Pennsylvania",0.0,75.0,52.0,93.0,0.0,0.016268980477223426,0.8305856832971801,0.020173535791757048,0.011279826464208243,0.12169197396963123,0.8305856832971801,BLACK_PER,1,1,0
100,7051.0,99.0,6088.0,73.0,0.0,0.0,0.0,197.0,594.0,495.0,0.0,0.0,0.0,0.0,99.0,0.0,"Census Tract 101, Philadelphia County, Pennsylvania",101,42,010100,"Philadelphia County, Pennsylvania",73.0,0.0,197.0,594.0,0.010353141398383208,0.0,0.8634236278542051,0.0842433697347894,0.027939299390157425,0.014040561622464899,0.8634236278542051,BLACK_PER,1,1,0
