,Unnamed: 0,Season,Season URL,Stadium,Stadium_url,Teams,Surface
115,115,2000,https://www.pro-football-reference.com/teams/atl/2000.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
116,116,1999,https://www.pro-football-reference.com/teams/atl/1999.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
117,117,1998,https://www.pro-football-reference.com/teams/atl/1998.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
118,118,1997,https://www.pro-football-reference.com/teams/atl/1997.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
119,119,1996,https://www.pro-football-reference.com/teams/atl/1996.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
120,120,1995,https://www.pro-football-reference.com/teams/atl/1995.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
121,121,1994,https://www.pro-football-reference.com/teams/atl/1994.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
122,122,1993,https://www.pro-football-reference.com/teams/atl/1993.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
123,123,1992,https://www.pro-football-reference.com/teams/atl/1992.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
124,124,1991,https://www.pro-football-reference.com/teams/atl/1991.htm,Atlanta-Fulton County Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
125,125,1990,https://www.pro-football-reference.com/teams/atl/1990.htm,Atlanta-Fulton County Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
126,126,1989,https://www.pro-football-reference.com/teams/atl/1989.htm,Atlanta-Fulton County Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
127,127,1988,https://www.pro-football-reference.com/teams/atl/1988.htm,Atlanta-Fulton County Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
128,128,1987,https://www.pro-football-reference.com/teams/atl/1987.htm,Atlanta-Fulton County Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
129,129,1986,https://www.pro-football-reference.com/teams/atl/1986.htm,Atlanta-Fulton County Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
130,130,1985,https://www.pro-football-reference.com/teams/atl/1985.htm,Atlanta-Fulton County Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
131,131,1984,https://www.pro-football-reference.com/teams/atl/1984.htm,Atlanta-Fulton County Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
132,132,1983,https://www.pro-football-reference.com/teams/atl/1983.htm,Atlanta-Fulton County Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
133,133,1982,https://www.pro-football-reference.com/teams/atl/1982.htm,Atlanta-Fulton County Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
134,134,1981,https://www.pro-football-reference.com/teams/atl/1981.htm,Atlanta-Fulton County Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
135,135,1980,https://www.pro-football-reference.com/teams/atl/1980.htm,Atlanta-Fulton County Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
136,136,1979,https://www.pro-football-reference.com/teams/atl/1979.htm,Atlanta-Fulton County Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
137,137,1978,https://www.pro-football-reference.com/teams/atl/1978.htm,Atlanta-Fulton County Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
138,138,1977,https://www.pro-football-reference.com/teams/atl/1977.htm,Atlanta-Fulton County Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
139,139,1976,https://www.pro-football-reference.com/teams/atl/1976.htm,Atlanta-Fulton County Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
140,140,1975,https://www.pro-football-reference.com/teams/atl/1975.htm,Atlanta Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
141,141,1974,https://www.pro-football-reference.com/teams/atl/1974.htm,Atlanta Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
142,142,1973,https://www.pro-football-reference.com/teams/atl/1973.htm,Atlanta Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
143,143,1972,https://www.pro-football-reference.com/teams/atl/1972.htm,Atlanta Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
144,144,1971,https://www.pro-football-reference.com/teams/atl/1971.htm,Atlanta Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
145,145,1970,https://www.pro-football-reference.com/teams/atl/1970.htm,Atlanta Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
146,146,1969,https://www.pro-football-reference.com/teams/atl/1969.htm,Atlanta Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
147,147,1968,https://www.pro-football-reference.com/teams/atl/1968.htm,Atlanta Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
148,148,1967,https://www.pro-football-reference.com/teams/atl/1967.htm,Atlanta Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
149,149,1966,https://www.pro-football-reference.com/teams/atl/1966.htm,Atlanta Stadium,/stadiums/ATL99.htm,Atlanta Falcons, grass (1966-1991)
150,150,2017,https://www.pro-football-reference.com/teams/rav/2017.htm,M&T Bank Stadium,/stadiums/BAL00.htm,Baltimore Ravens," grass (1998-2002), sportturf (2003-2009), fieldturf  (2010), sportturf (2011-2015), grass (2016-2017)"
151,151,2016,https://www.pro-football-reference.com/teams/rav/2016.htm,M&T Bank Stadium,/stadiums/BAL00.htm,Baltimore Ravens," grass (1998-2002), sportturf (2003-2009), fieldturf  (2010), sportturf (2011-2015), grass (2016-2017)"
