,Season,Stadium,Teams,Actual Surface
1480,1977,Oakland-Alameda County Coliseum,Oakland Raiders,grass
1481,1976,Oakland-Alameda County Coliseum,Oakland Raiders,grass
1482,1975,Oakland-Alameda County Coliseum,Oakland Raiders,grass
1483,1974,Oakland-Alameda County Coliseum,Oakland Raiders,grass
1484,1973,Oakland-Alameda County Coliseum,Oakland Raiders,grass
1485,1972,Oakland-Alameda County Coliseum,Oakland Raiders,grass
1486,1971,Oakland-Alameda County Coliseum,Oakland Raiders,grass
1487,1970,Oakland-Alameda County Coliseum,Oakland Raiders,grass
1488,1969,Oakland-Alameda County Coliseum,Oakland Raiders,grass
1489,1968,Oakland-Alameda County Coliseum,Oakland Raiders,grass
1490,1967,Oakland-Alameda County Coliseum,Oakland Raiders,grass
1491,1966,Oakland-Alameda County Coliseum,Oakland Raiders,grass
1492,1965,Frank Youell Field,Oakland Raiders,grass
1493,1964,Frank Youell Field,Oakland Raiders,grass
1494,1963,Frank Youell Field,Oakland Raiders,grass
1495,1962,Frank Youell Field,Oakland Raiders,grass
1496,1961,Candlestick Park,Oakland Raiders,grass
1497,1960,Kezar Stadium,Oakland Raiders,grass
1498,2017,Lincoln Financial Field,Philadelphia Eagles,grass
1499,2016,Lincoln Financial Field,Philadelphia Eagles,grass
1500,2015,Lincoln Financial Field,Philadelphia Eagles,grass
1501,2014,Lincoln Financial Field,Philadelphia Eagles,grass
1502,2013,Lincoln Financial Field,Philadelphia Eagles,grass
1503,2012,Lincoln Financial Field,Philadelphia Eagles,grass
1504,2011,Lincoln Financial Field,Philadelphia Eagles,grass
1505,2010,Lincoln Financial Field,Philadelphia Eagles,grass
1506,2009,Lincoln Financial Field,Philadelphia Eagles,grass
1507,2008,Lincoln Financial Field,Philadelphia Eagles,grass
1508,2007,Lincoln Financial Field,Philadelphia Eagles,grass
1509,2006,Lincoln Financial Field,Philadelphia Eagles,grass
1510,2005,Lincoln Financial Field,Philadelphia Eagles,grass
1511,2004,Lincoln Financial Field,Philadelphia Eagles,grass
1512,2003,Lincoln Financial Field,Philadelphia Eagles,grass
1513,2002,Veterans Stadium,Philadelphia Eagles,fieldturf
1514,2001,Veterans Stadium,Philadelphia Eagles,fieldturf
1515,2000,Veterans Stadium,Philadelphia Eagles,astroturf
1516,1999,Veterans Stadium,Philadelphia Eagles,astroturf
1517,1998,Veterans Stadium,Philadelphia Eagles,astroturf
1518,1997,Veterans Stadium,Philadelphia Eagles,astroturf
1519,1996,Veterans Stadium,Philadelphia Eagles,astroturf
1520,1995,Veterans Stadium,Philadelphia Eagles,astroturf
1521,1994,Veterans Stadium,Philadelphia Eagles,astroturf
1522,1993,Veterans Stadium,Philadelphia Eagles,astroturf
1523,1992,Veterans Stadium,Philadelphia Eagles,astroturf
1524,1991,Veterans Stadium,Philadelphia Eagles,astroturf
1525,1990,Veterans Stadium,Philadelphia Eagles,astroturf
1526,1989,Veterans Stadium,Philadelphia Eagles,astroturf
1527,1988,Veterans Stadium,Philadelphia Eagles,astroturf
1528,1987,Veterans Stadium,Philadelphia Eagles,astroturf
1529,1986,Veterans Stadium,Philadelphia Eagles,astroturf
1530,1985,Veterans Stadium,Philadelphia Eagles,astroturf
1531,1984,Veterans Stadium,Philadelphia Eagles,astroturf
1532,1983,Veterans Stadium,Philadelphia Eagles,astroturf
1533,1982,Veterans Stadium,Philadelphia Eagles,astroturf
1534,1981,Veterans Stadium,Philadelphia Eagles,astroturf
1535,1980,Veterans Stadium,Philadelphia Eagles,astroturf
1536,1979,Veterans Stadium,Philadelphia Eagles,astroturf
1537,1978,Veterans Stadium,Philadelphia Eagles,astroturf
1538,1977,Veterans Stadium,Philadelphia Eagles,astroturf
1539,1976,Veterans Stadium,Philadelphia Eagles,astroturf
1540,1975,Veterans Stadium,Philadelphia Eagles,astroturf
1541,1974,Veterans Stadium,Philadelphia Eagles,astroturf
1542,1973,Veterans Stadium,Philadelphia Eagles,astroturf
1543,1972,Veterans Stadium,Philadelphia Eagles,astroturf
1544,1971,Veterans Stadium,Philadelphia Eagles,astroturf
1545,1970,Franklin Field,Philadelphia Eagles,astroturf
1546,1969,Franklin Field,Philadelphia Eagles,astroturf
1547,1968,Franklin Field,Philadelphia Eagles,grass
1548,1967,Franklin Field,Philadelphia Eagles,grass
1549,1966,Franklin Field,Philadelphia Eagles,grass
1550,1965,Franklin Field,Philadelphia Eagles,grass
1551,1964,Franklin Field,Philadelphia Eagles,grass
1552,1963,Franklin Field,Philadelphia Eagles,grass
1553,1962,Franklin Field,Philadelphia Eagles,grass
1554,1961,Franklin Field,Philadelphia Eagles,grass
1555,1960,Franklin Field,Philadelphia Eagles,grass
1556,1959,Franklin Field,Philadelphia Eagles,grass
1557,1958,Franklin Field,Philadelphia Eagles,grass
1558,1957,Connie Mack Stadium,Philadelphia Eagles,grass
1559,1956,Connie Mack Stadium,Philadelphia Eagles,grass
1560,1955,Connie Mack Stadium,Philadelphia Eagles,grass
1561,1954,Connie Mack Stadium,Philadelphia Eagles,grass
1562,1953,Connie Mack Stadium,Philadelphia Eagles,grass
1563,1952,Shibe Park,Philadelphia Eagles,grass
1564,1951,Shibe Park,Philadelphia Eagles,grass
1565,1950,Shibe Park,Philadelphia Eagles,grass
1566,1949,Shibe Park,Philadelphia Eagles,grass
1567,1948,Shibe Park,Philadelphia Eagles,grass
1568,1947,Shibe Park,Philadelphia Eagles,grass
1569,1946,Shibe Park,Philadelphia Eagles,grass
1570,1945,Shibe Park,Philadelphia Eagles,grass
1571,1944,Shibe Park,Philadelphia Eagles,grass
1572,1943,Shibe Park,Philadelphia Eagles,grass
1573,1942,Shibe Park,Philadelphia Eagles,grass
1574,1941,Philadelphia Municipal Stadium,Philadelphia Eagles,grass
1575,1940,Shibe Park,Philadelphia Eagles,grass
1576,1939,Philadelphia Municipal Stadium,Philadelphia Eagles,grass
1577,1938,Philadelphia Municipal Stadium,Philadelphia Eagles,grass
1578,1937,Philadelphia Municipal Stadium,Philadelphia Eagles,grass
1579,1936,Philadelphia Municipal Stadium,Philadelphia Eagles,grass
1580,1935,Baker Bowl,Philadelphia Eagles,grass
1581,1934,Baker Bowl,Philadelphia Eagles,grass
1582,1933,Baker Bowl,Philadelphia Eagles,grass
1583,2017,Heinz Field,Pittsburgh Steelers,grass
1584,2016,Heinz Field,Pittsburgh Steelers,grass
1585,2015,Heinz Field,Pittsburgh Steelers,grass
1586,2014,Heinz Field,Pittsburgh Steelers,grass
1587,2013,Heinz Field,Pittsburgh Steelers,grass
1588,2012,Heinz Field,Pittsburgh Steelers,grass
1589,2011,Heinz Field,Pittsburgh Steelers,grass
1590,2010,Heinz Field,Pittsburgh Steelers,grass
1591,2009,Heinz Field,Pittsburgh Steelers,dessograss
1592,2008,Heinz Field,Pittsburgh Steelers,dessograss
1593,2007,Heinz Field,Pittsburgh Steelers,dessograss
1594,2006,Heinz Field,Pittsburgh Steelers,dessograss
1595,2005,Heinz Field,Pittsburgh Steelers,dessograss
1596,2004,Heinz Field,Pittsburgh Steelers,dessograss
1597,2003,Heinz Field,Pittsburgh Steelers,dessograss
1598,2002,Heinz Field,Pittsburgh Steelers,grass
1599,2001,Heinz Field,Pittsburgh Steelers,grass
1600,2000,Three Rivers Stadium,Pittsburgh Steelers,astroturf
1601,1999,Three Rivers Stadium,Pittsburgh Steelers,astroturf
1602,1998,Three Rivers Stadium,Pittsburgh Steelers,astroturf
1603,1997,Three Rivers Stadium,Pittsburgh Steelers,astroturf
1604,1996,Three Rivers Stadium,Pittsburgh Steelers,astroturf
1605,1995,Three Rivers Stadium,Pittsburgh Steelers,astroturf
1606,1994,Three Rivers Stadium,Pittsburgh Steelers,astroturf
1607,1993,Three Rivers Stadium,Pittsburgh Steelers,astroturf
1608,1992,Three Rivers Stadium,Pittsburgh Steelers,astroturf
1609,1991,Three Rivers Stadium,Pittsburgh Steelers,astroturf
1610,1990,Three Rivers Stadium,Pittsburgh Steelers,astroturf
1611,1989,Three Rivers Stadium,Pittsburgh Steelers,astroturf
1612,1988,Three Rivers Stadium,Pittsburgh Steelers,astroturf
1613,1987,Three Rivers Stadium,Pittsburgh Steelers,astroturf
1614,1986,Three Rivers Stadium,Pittsburgh Steelers,astroturf
1615,1985,Three Rivers Stadium,Pittsburgh Steelers,astroturf
1616,1984,Three Rivers Stadium,Pittsburgh Steelers,astroturf
1617,1983,Three Rivers Stadium,Pittsburgh Steelers,astroturf
1618,1982,Three Rivers Stadium,Pittsburgh Steelers,astroturf
1619,1981,Three Rivers Stadium,Pittsburgh Steelers,tartanturf
1620,1980,Three Rivers Stadium,Pittsburgh Steelers,tartanturf
1621,1979,Three Rivers Stadium,Pittsburgh Steelers,tartanturf
1622,1978,Three Rivers Stadium,Pittsburgh Steelers,tartanturf
1623,1977,Three Rivers Stadium,Pittsburgh Steelers,tartanturf
1624,1976,Three Rivers Stadium,Pittsburgh Steelers,tartanturf
1625,1975,Three Rivers Stadium,Pittsburgh Steelers,tartanturf
1626,1974,Three Rivers Stadium,Pittsburgh Steelers,tartanturf
1627,1973,Three Rivers Stadium,Pittsburgh Steelers,tartanturf
1628,1972,Three Rivers Stadium,Pittsburgh Steelers,tartanturf
1629,1971,Three Rivers Stadium,Pittsburgh Steelers,tartanturf
1630,1970,Three Rivers Stadium,Pittsburgh Steelers,tartanturf
1631,1969,Pitt Stadium,Pittsburgh Steelers,grass
1632,1968,Pitt Stadium,Pittsburgh Steelers,grass
1633,1967,Pitt Stadium,Pittsburgh Steelers,grass
1634,1966,Pitt Stadium,Pittsburgh Steelers,grass
1635,1965,Pitt Stadium,Pittsburgh Steelers,grass
1636,1964,Pitt Stadium,Pittsburgh Steelers,grass
1637,1963,Forbes Field,Pittsburgh Steelers,grass
1638,1962,Forbes Field,Pittsburgh Steelers,grass
1639,1961,Forbes Field,Pittsburgh Steelers,grass
1640,1960,Forbes Field,Pittsburgh Steelers,grass
1641,1959,Forbes Field,Pittsburgh Steelers,grass
1642,1958,Pitt Stadium,Pittsburgh Steelers,grass
1643,1957,Forbes Field,Pittsburgh Steelers,grass
1644,1956,Forbes Field,Pittsburgh Steelers,grass
1645,1955,Forbes Field,Pittsburgh Steelers,grass
1646,1954,Forbes Field,Pittsburgh Steelers,grass
1647,1953,Forbes Field,Pittsburgh Steelers,grass
1648,1952,Forbes Field,Pittsburgh Steelers,grass
1649,1951,Forbes Field,Pittsburgh Steelers,grass
1650,1950,Forbes Field,Pittsburgh Steelers,grass
1651,1949,Forbes Field,Pittsburgh Steelers,grass
1652,1948,Forbes Field,Pittsburgh Steelers,grass
1653,1947,Forbes Field,Pittsburgh Steelers,grass
1654,1946,Forbes Field,Pittsburgh Steelers,grass
1655,1945,Forbes Field,Pittsburgh Steelers,grass
1656,1942,Forbes Field,Pittsburgh Steelers,grass
1657,1941,Forbes Field,Pittsburgh Steelers,grass
1658,1940,Forbes Field,Pittsburgh Steelers,grass
1659,1939,Forbes Field,Pittsburgh Steelers,grass
1660,1938,Forbes Field,Pittsburgh Steelers,grass
1661,1937,Forbes Field,Pittsburgh Steelers,grass
1662,1936,Forbes Field,Pittsburgh Steelers,grass
1663,1935,Forbes Field,Pittsburgh Steelers,grass
1664,1934,Forbes Field,Pittsburgh Steelers,grass
1665,1933,Forbes Field,Pittsburgh Steelers,grass
1666,2017,Levi's Stadium,San Francisco 49ers,grass
1667,2016,Levi's Stadium,San Francisco 49ers,grass
1668,2015,Levi's Stadium,San Francisco 49ers,grass
1669,2014,Levi's Stadium,San Francisco 49ers,grass
1670,2013,Candlestick Park,San Francisco 49ers,grass
1671,2012,Candlestick Park,San Francisco 49ers,grass
1672,2011,Candlestick Park,San Francisco 49ers,grass
1673,2010,Candlestick Park,San Francisco 49ers,grass
1674,2009,Candlestick Park,San Francisco 49ers,grass
1675,2008,Candlestick Park,San Francisco 49ers,grass
1676,2007,Monster Park,San Francisco 49ers,grass
1677,2006,Monster Park,San Francisco 49ers,grass
1678,2005,Monster Park,San Francisco 49ers,grass
1679,2004,3Com Park,San Francisco 49ers,grass
1680,2003,3Com Park,San Francisco 49ers,grass
1681,2002,3Com Park,San Francisco 49ers,grass
1682,2001,3Com Park,San Francisco 49ers,grass
1683,2000,3Com Park,San Francisco 49ers,grass
1684,1999,3Com Park,San Francisco 49ers,grass
1685,1998,3Com Park,San Francisco 49ers,grass
1686,1997,3Com Park,San Francisco 49ers,grass
1687,1996,3Com Park,San Francisco 49ers,grass
1688,1995,3Com Park,San Francisco 49ers,grass
1689,1994,Candlestick Park,San Francisco 49ers,grass
1690,1993,Candlestick Park,San Francisco 49ers,grass
1691,1992,Candlestick Park,San Francisco 49ers,grass
1692,1991,Candlestick Park,San Francisco 49ers,grass
1693,1990,Candlestick Park,San Francisco 49ers,grass
1694,1989,Candlestick Park,San Francisco 49ers,grass
1695,1988,Candlestick Park,San Francisco 49ers,grass
1696,1987,Candlestick Park,San Francisco 49ers,grass
1697,1986,Candlestick Park,San Francisco 49ers,grass
1698,1985,Candlestick Park,San Francisco 49ers,grass
1699,1984,Candlestick Park,San Francisco 49ers,grass
1700,1983,Candlestick Park,San Francisco 49ers,grass
1701,1982,Candlestick Park,San Francisco 49ers,grass
1702,1981,Candlestick Park,San Francisco 49ers,grass
1703,1980,Candlestick Park,San Francisco 49ers,grass
1704,1979,Candlestick Park,San Francisco 49ers,grass
1705,1978,Candlestick Park,San Francisco 49ers,astroturf
1706,1977,Candlestick Park,San Francisco 49ers,astroturf
1707,1976,Candlestick Park,San Francisco 49ers,astroturf
1708,1975,Candlestick Park,San Francisco 49ers,astroturf
1709,1974,Candlestick Park,San Francisco 49ers,astroturf
1710,1973,Candlestick Park,San Francisco 49ers,astroturf
1711,1972,Candlestick Park,San Francisco 49ers,astroturf
1712,1971,Candlestick Park,San Francisco 49ers,astroturf
1713,1970,Kezar Stadium,San Francisco 49ers,grass
1714,1969,Kezar Stadium,San Francisco 49ers,grass
1715,1968,Kezar Stadium,San Francisco 49ers,grass
1716,1967,Kezar Stadium,San Francisco 49ers,grass
1717,1966,Kezar Stadium,San Francisco 49ers,grass
1718,1965,Kezar Stadium,San Francisco 49ers,grass
1719,1964,Kezar Stadium,San Francisco 49ers,grass
1720,1963,Kezar Stadium,San Francisco 49ers,grass
1721,1962,Kezar Stadium,San Francisco 49ers,grass
1722,1961,Kezar Stadium,San Francisco 49ers,grass
1723,1960,Kezar Stadium,San Francisco 49ers,grass
1724,1959,Kezar Stadium,San Francisco 49ers,grass
1725,1958,Kezar Stadium,San Francisco 49ers,grass
1726,1957,Kezar Stadium,San Francisco 49ers,grass
1727,1956,Kezar Stadium,San Francisco 49ers,grass
1728,1955,Kezar Stadium,San Francisco 49ers,grass
1729,1954,Kezar Stadium,San Francisco 49ers,grass
1730,1953,Kezar Stadium,San Francisco 49ers,grass
1731,1952,Kezar Stadium,San Francisco 49ers,grass
1732,1951,Kezar Stadium,San Francisco 49ers,grass
1733,1950,Kezar Stadium,San Francisco 49ers,grass
1734,1949,Kezar Stadium,San Francisco 49ers,grass
1735,1948,Kezar Stadium,San Francisco 49ers,grass
1736,1947,Kezar Stadium,San Francisco 49ers,grass
1737,1946,Kezar Stadium,San Francisco 49ers,grass
1738,2017,CenturyLink Field,Seattle Seahawks,fieldturf
1739,2016,CenturyLink Field,Seattle Seahawks,fieldturf
1740,2015,CenturyLink Field,Seattle Seahawks,fieldturf
1741,2014,CenturyLink Field,Seattle Seahawks,fieldturf
1742,2013,CenturyLink Field,Seattle Seahawks,fieldturf
1743,2012,CenturyLink Field,Seattle Seahawks,fieldturf
1744,2011,CenturyLink Field,Seattle Seahawks,fieldturf
1745,2010,Qwest Field,Seattle Seahawks,fieldturf
1746,2009,Qwest Field,Seattle Seahawks,fieldturf
1747,2008,Qwest Field,Seattle Seahawks,fieldturf
1748,2007,Qwest Field,Seattle Seahawks,fieldturf
1749,2006,Qwest Field,Seattle Seahawks,fieldturf
1750,2005,Qwest Field,Seattle Seahawks,fieldturf
1751,2004,Qwest Field,Seattle Seahawks,fieldturf
1752,2003,Seahawks Stadium,Seattle Seahawks,fieldturf
1753,2002,Seahawks Stadium,Seattle Seahawks,fieldturf
1754,2001,Husky Stadium,Seattle Seahawks,fieldturf
1755,2000,Husky Stadium,Seattle Seahawks,fieldturf
1756,1999,Seattle Kingdome,Seattle Seahawks,astroturf
1757,1998,Seattle Kingdome,Seattle Seahawks,astroturf
1758,1997,Seattle Kingdome,Seattle Seahawks,astroturf
1759,1996,Seattle Kingdome,Seattle Seahawks,astroturf
1760,1995,Seattle Kingdome,Seattle Seahawks,astroturf
1761,1994,Seattle Kingdome,Seattle Seahawks,astroturf
1762,1993,Seattle Kingdome,Seattle Seahawks,astroturf
1763,1992,Seattle Kingdome,Seattle Seahawks,astroturf
1764,1991,Seattle Kingdome,Seattle Seahawks,astroturf
1765,1990,Seattle Kingdome,Seattle Seahawks,astroturf
1766,1989,Seattle Kingdome,Seattle Seahawks,astroturf
1767,1988,Seattle Kingdome,Seattle Seahawks,astroturf
1768,1987,Seattle Kingdome,Seattle Seahawks,astroturf
1769,1986,Seattle Kingdome,Seattle Seahawks,astroturf
1770,1985,Seattle Kingdome,Seattle Seahawks,astroturf
1771,1984,Seattle Kingdome,Seattle Seahawks,astroturf
1772,1983,Seattle Kingdome,Seattle Seahawks,astroturf
1773,1982,Seattle Kingdome,Seattle Seahawks,astroturf
1774,1981,Seattle Kingdome,Seattle Seahawks,astroturf
1775,1980,Seattle Kingdome,Seattle Seahawks,astroturf
1776,1979,Seattle Kingdome,Seattle Seahawks,astroturf
1777,1978,Seattle Kingdome,Seattle Seahawks,astroturf
1778,1977,Seattle Kingdome,Seattle Seahawks,astroturf
1779,1976,Seattle Kingdome,Seattle Seahawks,astroturf
1780,2017,Raymond James Stadium,Tampa Bay Buccaneers,grass
1781,2016,Raymond James Stadium,Tampa Bay Buccaneers,grass
1782,2015,Raymond James Stadium,Tampa Bay Buccaneers,grass
1783,2014,Raymond James Stadium,Tampa Bay Buccaneers,grass
1784,2013,Raymond James Stadium,Tampa Bay Buccaneers,grass
1785,2012,Raymond James Stadium,Tampa Bay Buccaneers,grass
1786,2011,Raymond James Stadium,Tampa Bay Buccaneers,grass
1787,2010,Raymond James Stadium,Tampa Bay Buccaneers,grass
1788,2009,Raymond James Stadium,Tampa Bay Buccaneers,grass
1789,2008,Raymond James Stadium,Tampa Bay Buccaneers,grass
1790,2007,Raymond James Stadium,Tampa Bay Buccaneers,grass
1791,2006,Raymond James Stadium,Tampa Bay Buccaneers,grass
1792,2005,Raymond James Stadium,Tampa Bay Buccaneers,grass
1793,2004,Raymond James Stadium,Tampa Bay Buccaneers,grass
1794,2003,Raymond James Stadium,Tampa Bay Buccaneers,grass
1795,2002,Raymond James Stadium,Tampa Bay Buccaneers,grass
1796,2001,Raymond James Stadium,Tampa Bay Buccaneers,grass
1797,2000,Raymond James Stadium,Tampa Bay Buccaneers,grass
1798,1999,Raymond James Stadium,Tampa Bay Buccaneers,grass
1799,1998,Raymond James Stadium,Tampa Bay Buccaneers,grass
1800,1997,Houlihan's Stadium,Tampa Bay Buccaneers,grass
1801,1996,Houlihan's Stadium,Tampa Bay Buccaneers,grass
1802,1995,Tampa Stadium,Tampa Bay Buccaneers,grass
1803,1994,Tampa Stadium,Tampa Bay Buccaneers,grass
1804,1993,Tampa Stadium,Tampa Bay Buccaneers,grass
1805,1992,Tampa Stadium,Tampa Bay Buccaneers,grass
1806,1991,Tampa Stadium,Tampa Bay Buccaneers,grass
1807,1990,Tampa Stadium,Tampa Bay Buccaneers,grass
1808,1989,Tampa Stadium,Tampa Bay Buccaneers,grass
1809,1988,Tampa Stadium,Tampa Bay Buccaneers,grass
1810,1987,Tampa Stadium,Tampa Bay Buccaneers,grass
1811,1986,Tampa Stadium,Tampa Bay Buccaneers,grass
1812,1985,Tampa Stadium,Tampa Bay Buccaneers,grass
1813,1984,Tampa Stadium,Tampa Bay Buccaneers,grass
1814,1983,Tampa Stadium,Tampa Bay Buccaneers,grass
1815,1982,Tampa Stadium,Tampa Bay Buccaneers,grass
1816,1981,Tampa Stadium,Tampa Bay Buccaneers,grass
1817,1980,Tampa Stadium,Tampa Bay Buccaneers,grass
1818,1979,Tampa Stadium,Tampa Bay Buccaneers,grass
1819,1978,Tampa Stadium,Tampa Bay Buccaneers,grass
1820,1977,Tampa Stadium,Tampa Bay Buccaneers,grass
1821,1976,Tampa Stadium,Tampa Bay Buccaneers,grass
1822,2017,Nissan Stadium,Tennessee Titans,grass
1823,2016,Nissan Stadium,Tennessee Titans,grass
1824,2015,Nissan Stadium,Tennessee Titans,grass
1825,2014,LP Field,Tennessee Titans,grass
1826,2013,LP Field,Tennessee Titans,grass
1827,2012,LP Field,Tennessee Titans,grass
1828,2011,LP Field,Tennessee Titans,grass
1829,2010,LP Field,Tennessee Titans,grass
1830,2009,LP Field,Tennessee Titans,grass
1831,2008,LP Field,Tennessee Titans,grass
1832,2007,LP Field,Tennessee Titans,grass
1833,2006,LP Field,Tennessee Titans,grass
1834,2005,The Coliseum,Tennessee Titans,grass
1835,2004,The Coliseum,Tennessee Titans,grass
1836,2003,The Coliseum,Tennessee Titans,grass
1837,2002,The Coliseum,Tennessee Titans,grass
1838,2001,Adelphia Coliseum,Tennessee Titans,grass
1839,2000,Adelphia Coliseum,Tennessee Titans,grass
1840,1999,Adelphia Coliseum,Tennessee Titans,grass
1841,1998,Vanderbilt Stadium,Tennessee Titans,grass
1842,1997,Liberty Bowl Memorial Stadium,Tennessee Titans,grass
1843,1996,Houston Astrodome,Tennessee Titans,astroturf
1844,1995,Houston Astrodome,Tennessee Titans,astroturf
1845,1994,Houston Astrodome,Tennessee Titans,astroturf
1846,1993,Houston Astrodome,Tennessee Titans,astroturf
1847,1992,Houston Astrodome,Tennessee Titans,astroturf
1848,1991,Houston Astrodome,Tennessee Titans,astroturf
1849,1990,Houston Astrodome,Tennessee Titans,astroturf
1850,1989,Houston Astrodome,Tennessee Titans,astroturf
1851,1988,Houston Astrodome,Tennessee Titans,astroturf
1852,1987,Houston Astrodome,Tennessee Titans,astroturf
1853,1986,Houston Astrodome,Tennessee Titans,astroturf
1854,1985,Houston Astrodome,Tennessee Titans,astroturf
1855,1984,Houston Astrodome,Tennessee Titans,astroturf
1856,1983,Houston Astrodome,Tennessee Titans,astroturf
1857,1982,Houston Astrodome,Tennessee Titans,astroturf
1858,1981,Houston Astrodome,Tennessee Titans,astroturf
1859,1980,Houston Astrodome,Tennessee Titans,astroturf
1860,1979,Houston Astrodome,Tennessee Titans,astroturf
1861,1978,Houston Astrodome,Tennessee Titans,astroturf
1862,1977,Houston Astrodome,Tennessee Titans,astroturf
1863,1976,Houston Astrodome,Tennessee Titans,astroturf
1864,1975,Houston Astrodome,Tennessee Titans,astroturf
1865,1974,Houston Astrodome,Tennessee Titans,astroturf
1866,1973,Houston Astrodome,Tennessee Titans,astroturf
1867,1972,Houston Astrodome,Tennessee Titans,astroturf
1868,1971,Houston Astrodome,Tennessee Titans,astroturf
1869,1970,Houston Astrodome,Tennessee Titans,astroturf
1870,1969,Houston Astrodome,Tennessee Titans,astroturf
1871,1968,Houston Astrodome,Tennessee Titans,astroturf
1872,1967,Rice Stadium,Tennessee Titans,grass
1873,1966,Rice Stadium,Tennessee Titans,grass
1874,1965,Rice Stadium,Tennessee Titans,grass
1875,1964,Jeppesen Stadium,Tennessee Titans,grass
1876,1963,Jeppesen Stadium,Tennessee Titans,grass
1877,1962,Jeppesen Stadium,Tennessee Titans,grass
1878,1961,Jeppesen Stadium,Tennessee Titans,grass
1879,1960,Jeppesen Stadium,Tennessee Titans,grass
1880,2017,FedExField,Washington Redskins,grass
1881,2016,FedExField,Washington Redskins,grass
1882,2015,FedExField,Washington Redskins,grass
1883,2014,FedExField,Washington Redskins,grass
1884,2013,FedExField,Washington Redskins,grass
1885,2012,FedExField,Washington Redskins,grass
1886,2011,FedExField,Washington Redskins,grass
1887,2010,FedExField,Washington Redskins,grass
1888,2009,FedExField,Washington Redskins,grass
1889,2008,FedExField,Washington Redskins,grass
1890,2007,FedExField,Washington Redskins,grass
1891,2006,FedExField,Washington Redskins,grass
1892,2005,FedExField,Washington Redskins,grass
1893,2004,FedExField,Washington Redskins,grass
1894,2003,FedExField,Washington Redskins,grass
1895,2002,FedExField,Washington Redskins,grass
1896,2001,FedExField,Washington Redskins,grass
1897,2000,FedExField,Washington Redskins,grass
1898,1999,Jack Kent Cooke Stadium,Washington Redskins,grass
1899,1998,Jack Kent Cooke Stadium,Washington Redskins,grass
1900,1997,Jack Kent Cooke Stadium,Washington Redskins,grass
1901,1996,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1902,1995,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1903,1994,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1904,1993,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1905,1992,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1906,1991,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1907,1990,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1908,1989,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1909,1988,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1910,1987,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1911,1986,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1912,1985,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1913,1984,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1914,1983,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1915,1982,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1916,1981,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1917,1980,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1918,1979,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1919,1978,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1920,1977,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1921,1976,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1922,1975,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1923,1974,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1924,1973,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1925,1972,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1926,1971,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1927,1970,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1928,1969,Robert F. Kennedy Memorial Stadium,Washington Redskins,grass
1929,1968,District of Columbia Stadium,Washington Redskins,grass
1930,1967,District of Columbia Stadium,Washington Redskins,grass
1931,1966,District of Columbia Stadium,Washington Redskins,grass
1932,1965,District of Columbia Stadium,Washington Redskins,grass
1933,1964,District of Columbia Stadium,Washington Redskins,grass
1934,1963,District of Columbia Stadium,Washington Redskins,grass
1935,1962,District of Columbia Stadium,Washington Redskins,grass
1936,1961,District of Columbia Stadium,Washington Redskins,grass
1937,1960,Griffith Stadium,Washington Redskins,grass
1938,1959,Griffith Stadium,Washington Redskins,grass
1939,1958,Griffith Stadium,Washington Redskins,grass
1940,1957,Griffith Stadium,Washington Redskins,grass
1941,1956,Griffith Stadium,Washington Redskins,grass
1942,1955,Griffith Stadium,Washington Redskins,grass
1943,1954,Griffith Stadium,Washington Redskins,grass
1944,1953,Griffith Stadium,Washington Redskins,grass
1945,1952,Griffith Stadium,Washington Redskins,grass
1946,1951,Griffith Stadium,Washington Redskins,grass
1947,1950,Griffith Stadium,Washington Redskins,grass
1948,1949,Griffith Stadium,Washington Redskins,grass
1949,1948,Griffith Stadium,Washington Redskins,grass
