,Season,Stadium,Teams,Actual Surface
412,2006,Cleveland Browns Stadium,Cleveland Browns,grass
413,2005,Cleveland Browns Stadium,Cleveland Browns,grass
414,2004,Cleveland Browns Stadium,Cleveland Browns,grass
415,2003,Cleveland Browns Stadium,Cleveland Browns,grass
416,2002,Cleveland Browns Stadium,Cleveland Browns,grass
417,2001,Cleveland Browns Stadium,Cleveland Browns,grass
418,2000,Cleveland Browns Stadium,Cleveland Browns,grass
419,1999,Cleveland Browns Stadium,Cleveland Browns,grass
420,1995,Cleveland Municipal Stadium,Cleveland Browns,grass
421,1994,Cleveland Municipal Stadium,Cleveland Browns,grass
422,1993,Cleveland Municipal Stadium,Cleveland Browns,grass
423,1992,Cleveland Municipal Stadium,Cleveland Browns,grass
424,1991,Cleveland Municipal Stadium,Cleveland Browns,grass
425,1990,Cleveland Municipal Stadium,Cleveland Browns,grass
426,1989,Cleveland Municipal Stadium,Cleveland Browns,grass
427,1988,Cleveland Municipal Stadium,Cleveland Browns,grass
428,1987,Cleveland Municipal Stadium,Cleveland Browns,grass
429,1986,Cleveland Municipal Stadium,Cleveland Browns,grass
430,1985,Cleveland Municipal Stadium,Cleveland Browns,grass
431,1984,Cleveland Municipal Stadium,Cleveland Browns,grass
432,1983,Cleveland Municipal Stadium,Cleveland Browns,grass
433,1982,Cleveland Municipal Stadium,Cleveland Browns,grass
434,1981,Cleveland Municipal Stadium,Cleveland Browns,grass
435,1980,Cleveland Municipal Stadium,Cleveland Browns,grass
436,1979,Cleveland Municipal Stadium,Cleveland Browns,grass
437,1978,Cleveland Municipal Stadium,Cleveland Browns,grass
438,1977,Cleveland Municipal Stadium,Cleveland Browns,grass
439,1976,Cleveland Municipal Stadium,Cleveland Browns,grass
440,1975,Cleveland Municipal Stadium,Cleveland Browns,grass
441,1974,Cleveland Municipal Stadium,Cleveland Browns,grass
442,1973,Cleveland Municipal Stadium,Cleveland Browns,grass
443,1972,Cleveland Municipal Stadium,Cleveland Browns,grass
444,1971,Cleveland Municipal Stadium,Cleveland Browns,grass
445,1970,Cleveland Municipal Stadium,Cleveland Browns,grass
446,1969,Cleveland Municipal Stadium,Cleveland Browns,grass
447,1968,Cleveland Municipal Stadium,Cleveland Browns,grass
448,1967,Cleveland Municipal Stadium,Cleveland Browns,grass
449,1966,Cleveland Municipal Stadium,Cleveland Browns,grass
450,1965,Cleveland Municipal Stadium,Cleveland Browns,grass
451,1964,Cleveland Municipal Stadium,Cleveland Browns,grass
452,1963,Cleveland Municipal Stadium,Cleveland Browns,grass
453,1962,Cleveland Municipal Stadium,Cleveland Browns,grass
454,1961,Cleveland Municipal Stadium,Cleveland Browns,grass
455,1960,Cleveland Municipal Stadium,Cleveland Browns,grass
456,1959,Cleveland Municipal Stadium,Cleveland Browns,grass
457,1958,Cleveland Municipal Stadium,Cleveland Browns,grass
458,1957,Cleveland Municipal Stadium,Cleveland Browns,grass
459,1956,Cleveland Municipal Stadium,Cleveland Browns,grass
460,1955,Cleveland Municipal Stadium,Cleveland Browns,grass
461,1954,Cleveland Municipal Stadium,Cleveland Browns,grass
462,1953,Cleveland Municipal Stadium,Cleveland Browns,grass
463,1952,Cleveland Municipal Stadium,Cleveland Browns,grass
464,1951,Cleveland Municipal Stadium,Cleveland Browns,grass
465,1950,Cleveland Municipal Stadium,Cleveland Browns,grass
466,1949,Cleveland Municipal Stadium,Cleveland Browns,grass
467,1948,Cleveland Municipal Stadium,Cleveland Browns,grass
468,1947,Cleveland Municipal Stadium,Cleveland Browns,grass
469,1946,Cleveland Municipal Stadium,Cleveland Browns,grass
470,2017,AT&T Stadium,Dallas Cowboys,matrixturf
471,2016,AT&T Stadium,Dallas Cowboys,matrixturf
472,2015,AT&T Stadium,Dallas Cowboys,matrixturf
473,2014,AT&T Stadium,Dallas Cowboys,matrixturf
474,2013,AT&T Stadium,Dallas Cowboys,matrixturf
475,2012,Cowboys Stadium,Dallas Cowboys,matrixturf
476,2011,Cowboys Stadium,Dallas Cowboys,matrixturf
477,2010,Cowboys Stadium,Dallas Cowboys,matrixturf
478,2009,Cowboys Stadium,Dallas Cowboys,fieldturf
479,2008,Texas Stadium,Dallas Cowboys,fieldturf
480,2007,Texas Stadium,Dallas Cowboys,fieldturf
481,2006,Texas Stadium,Dallas Cowboys,fieldturf
482,2005,Texas Stadium,Dallas Cowboys,fieldturf
483,2004,Texas Stadium,Dallas Cowboys,fieldturf
484,2003,Texas Stadium,Dallas Cowboys,fieldturf
485,2002,Texas Stadium,Dallas Cowboys,astroturf
